コード,見通し原文
7422,今後の見通し 当社を取り巻く事業環境は、原材料価格や物流費の上昇、為替変動等の影響に加え、消費行動や市場構造の 変化が進行しており、依然として先行き不透明な状況が続いております。 このような状況におきまして、当社は「創造・開拓・奉仕」の経営理念のもと、事業の持続性と将来にわた る企業価値の向上を図るべく、商品戦略及び営業戦略を中心とした経営課題への対応を進めてまいります。 (1) 商品戦略 当社は、ライフスタイルのカジュアル化やファッションの多様化といった市場環境の変化を踏まえ、商品 戦略の見直しに取り組んでおります。従来の販売数量の拡大を主眼とした商品投入から転換し、商品そのも のが持つ価値向上を重視した商品づくりを基本方針としております。 具体的には、商品の企画段階において想定販売価格を明確に意識した企画運営を行うとともに、オリジナ ルブランドを中心とした自社企画商品の比率引き上げに取り組んでおります。またＳＫＵ数や型数について は、単なる削減を目的とするものではなく、顧客にとって分かりやすく、選びやすい商品構成にすることを 基本的な考え方として見直しを進め、商品管理の効率化を図っております。 これらの取り組みを通じて、当社は数値指標の改善そのものを目的とするのではなく、価値ある商品を継 続的に市場へ提供できる商品ポートフォリオの構築を目指しております。 (2) 営業戦略 営業戦略においては、売上高の拡大を最優先とする従来の営業活動を見直し、商
3236,今後の見通し日本経済は、米国の通商政策等による不透明感がみられ、一部で足踏みがみられるものの当面は内需がけん引する形で、緩やかな回復を続けることが見込まれます。しかしながら、東欧や中東における世界情勢の不透明性、円安や資源価格の上昇に伴うエネルギー価格や食料品の価格上昇の継続などによる消費者マインドの下振れ、世界的な金融引締め等による海外景気の下振れが、景気の下押し圧力となる可能性があります。当社が属する不動産業界に関しては、地価及び建築費の上昇が続いています。一方で、新築マンションの販売価格が今後もこれまでのように上昇し続けるかについては、不透明な状況です。もし販売価格の上昇が鈍化した場合、コ ㈱プロパスト （3236） 2025年５月期決算短信 - 3 - スト増を販売価格に転嫁できず、利益率が低下するおそれがあります。物価の上昇や金融当局による利上げの動き等から金利上昇に伴う需要低下懸念はあるものの、都心部の駅に近い魅力的な物件は、供給が限られることや販売価格の先高感等から、需要は引き続き底堅く推移することが見込まれます。このような経済環境のもと、当社としましては、これまでと同様に首都圏エリアにおける駅近等の利便性の高いレジデンス用の物件を中心に仕入れを行っております。しかしながら、物件取得に関しては立地や価格に留意することに加えて、売却想定価格やバランスシートの健全性を意識しつつ、より一層厳選した上での取得が必要であると考えております。分譲開発事業につきましては、単身
5819,"今後の見通し 世界情勢は、ロシア・ウクライナ、中東、東アジア、中南米など地政学リスクが世界各地域に広がり、経済活動へ波及が懸念されるなど不安定な状況が想定されます。経済面では為替の動向、継続する資源価格の高騰、中国経済の減速、米国関税の影響など、経営環境は極めて不透明な状況が続くと予想されます。当社グループは、国内市場における既存事業強化とともに、海外市場への積極的な展開、次のビジネスの礎構築に向けた取組みを加速させることにより、売上高13,200百万円を予想しております。利益面では、海外市場に向けた積極的な営業活動への投資、新製品や新規事業への研究開発などの重点施策に対する投資は強化しつつ、費用削減への一層の取り組みを行うことにより、営業利益1,480百万円、経常利益1,630百万円、親会社株主に帰属する当期純利益1,180百万円を予想しております。２．会計基準の選択に関する基本的な考え方 当社グループは、日本基準を採用しております。 なお、IFRS（国際財務報告基準）の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。カナレ電気㈱（5819）2025年12月期 決算短信 - 4 - (単位：千円)前連結会計年度(2024年12月31日)当連結会計年度(2025年12月31日)資産の部流動資産現金及び預金11,475,2289,266,101受取手形及び売掛金1,371,5501,294,497商品及び製品2,956,8402,881,465仕掛"
3161,"業績見通しにつきましては、売上高8,445百万円、営業利益270百万円、経常利益300百万 円、親会社株主に帰属する当期純利益194百万円を見込んでおります。上記業績予想は、本資料発表時点において入手 可能な情報に基づき作成したもので、今後事業環境の変化など、業績予想の修正が見込まれる場合には、適時、適切 な情報開示をいたします。 ２．会計基準の選択に関する基本的な考え方 当社グループの利害関係者の多くは国内の株主、債権者、取引先等であるため、現時点では海外からの資金調達の必 要性が乏しく、また、国際会計基準に基づく連結財務諸表を作成するための体制整備の負担等も考慮し、当社グループ は日本基準に基づき連結財務諸表を作成しております。 － 4 － ３．連結財務諸表及び主な注記 （１）連結貸借対照表 資産の部 流動資産 現金及び預金 受取手形 売掛金 電子記録債権 商品及び製品 原材料 仕掛品 その他 貸倒引当金 流動資産合計 固定資産 有形固定資産 建物及び構築物 減価償却累計額 建物及び構築物（純額） 機械装置及び運搬具 減価償却累計額 機械装置及び運搬具（純額） 土地 建設仮勘定 その他 減価償却累計額 その他（純額） 有形固定資産合計 無形固定資産 投資その他の資産 投資有価証券 退職給付に係る資産 繰延税金資産 保険積立金 その他 貸倒引当金 投資その他の資産合計 固定資産合計"
7175,今後の見通し 当社の業績は、経済情勢や市場環境の変動による影響を大きく受ける状況にあり、投資家の皆様の投資判断に有用 な業績予想を行うことが困難であるため、業績予想を開示しておりません。これに代えて、四半期及び通期の業績速 報値を開示いたします。なお、業績速報値については、四半期決算及び決算終了後概ね15営業日以内に開示する予定 としております。 ２．会計基準の選択に関する基本的な考え方 当社は日本基準による非連結決算を実施しております。今後のＩＦＲＳ（国際財務報告基準）導入に関する動向を注 視しつつ、適切に対応する体制の整備に努めてまいります。 4 ３．財務諸表及び主な注記 （１）貸借対照表 資産の部 流動資産 現金・預金 預託金 顧客分別金信託 その他の預託金 トレーディング商品 商品有価証券等 デリバティブ取引 約定見返勘定 信用取引資産 信用取引貸付金 信用取引借証券担保金 募集等払込金 短期差入保証金 前払費用 未収収益 その他の流動資産 貸倒引当金 流動資産合計 固定資産 有形固定資産 建物(純額) 器具備品（純額） 土地 その他 無形固定資産 ソフトウエア 電話加入権 その他 投資その他の資産 投資有価証券 長期差入保証金 長期前払費用 前払年金費用 その他 貸倒引当金 固定資産合計 資産合計 今村証券株式会社(7175) 2026年３月期 決算短信 前事業年度
5946,次期の見通し）今後のわが国経済は、雇用・所得環境の改善により個人消費の持ち直しの動きが引続き拡大していくと見込まれ、景気は緩やかな回復が期待されますが、米国の通商政策の動向や日中関係の悪化に加え、政府の積極財政や金融政策が個人消費に及ぼす影響等に十分に留意する必要があります。また、当社グループの商品需要とも関係の深い建築業界におきましては、資材価格や人件費の高騰などにより住宅価格の上昇が続くなか、日銀の利上げによる住宅ローン金利も上昇が見込まれ、新設住宅着工戸数については今後も弱含みで推移していくと予想されますが、政府による各種補助制度の優遇により、住宅リフォーム市場は堅調に推移していくと見込んでおります。このような経営環境のなか当社グループでは、カーボンニュートラルの実現に向けて、環境にやさしく高効率な製品のラインアップ強化およびシェアアップに取り組んでまいります。営業部門におきましては、今後も物価高が続いていく状況が見込まれますが、積極的な営業活動に取り組み、ヒートポンプ製品や高効率製品のさらなるシェアアップを追求してまいります。この他、海外での販売につきましては、新規顧客の開拓に積極的に取り組んでまいります。開発部門におきましては、カーボンニュートラルの実現に向けて高効率・省エネを実現した商品や、快適・健康を追求した高付加価値商品の開発を進めてまいります。生産・購買部門におきましては、原材料費高騰に対応した品質向上と設備投資に注力し、グループをあげて経営全般の合理化と業績の
8938,"今後の見通し当連結会計年度においては、医療関連事業において新たに１件のアライアンス先医療機関を獲得しましたが、業務受託契約の終了等による病床減があり、３月31日現在のアライアンス先病床数は合計4,826床となりました。また、2024年３月期に立ち上げたホスピス住宅事業につきましては、2026年2月をもって閉鎖し、賃貸物件として他社に賃貸中です。2027年３月期には、新規アライアンス先医療機関の開拓を進めるとともに、既存アライアンス先医療機関に対する施設管理支援やＩＴ支援等の周辺ビジネスを強化し、収益の安定化と拡大を図ってまいります。また、医療機器、医薬品等販売事業及び外国人向け医療ツーリズム事業についても収益性の向上に継続的に取り組んでまいります。さらに、2026年４月30日に適時開示いたしました新規事業である系統用蓄電池事業についても、第１号施設の取得に向けて対象案件を検討中です。当社連結子会社であり医療関連事業の中核を担うグローム・マネジメント㈱では、2027年３月期において、アライアンス先医療機関に対するコンサルティング事業に関して、１件・計100床の新規獲得を計画しており、周辺ビジネスを含めた売上高は837百万円を見込んでおります。医療機器等販売事業を展開する福山医療器㈱においては、営業体制の更なる強化を図るとともに、既存顧客との関係強化による収益性向上に取り組んでまいります。また、当社グループのアライアンス先医療機関とのシナジーを一層深め、更なる、医療機器、医薬品の購買"
6292,今後の見通し 世界経済は、地政学的リスクの高まりや中国経済の長期低迷等により、先行きに対する強い不透明感が漂って います。わが国経済も、個人消費の改善や緩やかな設備投資の回復に期待は持てる反面、原油価格高騰や調達懸 念等に伴う物価上昇による消費の下押し懸念もあり、外部環境の変化を注視しつつ、慎重なリスク管理が求めら れる状況が続くものと予想されます。 また、当社グループを取り巻く環境としては、射出成形機の受注台数が2021年をピークに減少し、底打ちの兆 しはあるものの、依然として厳しい状況であります。一方、食品、粉体等の非プラスチック分野への販路拡大や 生産年齢人口の減少、賃金上昇等の労働供給制約を背景とした省人化、省力化投資、さらに容器包装のリユース、 リサイクル率向上に向けた取組み強化など、需要拡大に繋がる動きも見られます。 かかる環境下、当社グループにおきましては、引き続き自動車関連業界における自動車の電動化、自動運転化、 車体の軽量化、一体成形化(ギガキャスト)等の動きや、社会の変化に伴うタブレット、ＰＣ、スマホ、ＶＲ等の 通信機器拡大、ＡＩ、ＩｏＴ、５Ｇ等のデジタル化推進の動きへ的確に対応していくとともに、既存市場、既存 分野での販売拡大と収益力向上等を中期的に取り組んでまいります。また、地球レベルでの環境問題（脱炭素、 使い捨てプラスチックの削減）に対しては、お客様の生産現場や自社の事業活動及びお客様の製造物を通じて社 会に貢献し、透明性の高い企業統治（コーポレ
3668,
6748,今後の見通しにつきましては、雇用・所得環境の改善などを背景に緩やかな回復が続くことが期待されますが、物価上昇、アメリカの政策動向、金融資本市場の変動など依然として景気の先行きは不透明な状況にあります。このようななか、公共設備関連では、インフラ整備などの公共事業の継続、政府のカーボンニュートラル施策を背景とした照明器具のLED化促進などが予想されます。また民間設備関連では2027年蛍光灯製造禁止を背景に国内の設備投資においてLED照明器具の需要が堅調に推移すると見込んでおります。今後の見通しをうけて、当社の各事業における方針は次の通りです。情報機器事業期初の受注残高が前年同期に比べ少ない状況にありますが、更なる受注の確保に努めてまいります。また、製販連携により確実で効率的な生産と品質の確保に向けた取組みを一層推進してまいります。照明機器事業民間設備関連は、2027年蛍光灯製造禁止によるLED照明器具の拡販と多機能照明製品やシステム製品を中心とした製品ラインアップの拡充で市場のシェア拡大に努めてまいります。公共設備関連は、政府のカーボンニュートラル施策を背景に、2030年度までの道路照明LED化に伴う受注に対応する体制整備を進め、LEDトンネル照明器具の新製品を中心とした受注の確保に努めてまいります。コンポーネント事業配線保護機材ではラインアップの拡充や新製品の投入を見据え、拡販に努めてまいります。電磁波環境対策部品では新製品開発と電波暗室を活用したソリューション営業活動
9972,"今後の見通し今後の我が国経済は、日中関係の悪化や米国の関税政策等の影響を受けつつも、雇用環境の改善や政府の経済政策が下支えとなり、底堅く推移していくと予想されます。一方、海外においては、米中貿易摩擦が再燃する懸念、ロシア・ウクライナ情勢や中東情勢の長期化による影響等の下振れリスクを抱えつつも、緩やかな回復基調となることが予想されます。当社グループは、2021年１月に策定した中期経営計画（2021年11月期～2025年11月期の5ヵ年）において、最終年度である2025年11月期の連結目標数値を売上高20,000百万円、営業利益1,000百万円、営業利益率5.0％以上、自己資本利益率（ROE）8.0％以上と掲げておりましたが、本日公表いたしましたとおり、急速な市場環境の変化に対応し、将来の収益基盤を強化するための抜本的な事業構造改革（再生フレーク事業からの撤退等）を断行した結果、これらの目標数値は最終的に未達となりました。当社グループは現状を踏まえた新たな中期経営計画（2026年11月期～2028年11月期の３ヵ年）を策定中であり、2026年１月中に公表する予定であります。この３ヵ年を、今後の持続的な成長、そして４年目以降のさらなる飛躍に向けた強固な基盤を構築する期間と位置づけ、新中期経営計画では、更なる飛躍に向けて事業ポートフォリオの最適化と経営リソースの選択と集中を図るとともに、商社事業およびプリフォーム事業において事業構造改革を確実に実行することで、各事業の競争力と収益基盤を一"
6335,今後の見通し 当社グループが主として事業を展開する新聞業界は、新聞の需要が減退しており、設備投資に対する姿勢は慎重 であり、当社にとりまして厳しい事業環境が続いております。 このような事業環境のもと、当社グループは、中期経営計画において掲げた経営理念に従い、構造改革に取り組 んでまいります。 次期の業績見通しとしては売上高109億6千万円（前期実績84億5千6百万円）、営業利益7億円（前期実績7億2千1 百万円）、経常利益7億3千万円（前期実績7億7千7百万円）を予定しており、特別利益として固定資産売却益を、特 別損失として現在係争中の訴訟関連費用などを見込んでいることから、親会社株主に帰属する当期純利益5億6千万 円（前期実績10億5千7百万円）を予想しております。 なお、業績予想は、現時点において入手可能な情報に基づき作成したものであり、今後様々な要因により業績予 想の修正を行う必要が生じた場合は、速やかに公表いたします。 ２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財 務諸表を作成する方針であります。 なお、国際会計基準の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。 3 ３．連結財務諸表及び主な注記 （１）連結貸借対照表 資産の部 流動資産 現金及び預金 受取手形、売掛金及び契約資産 有価証券 仕
7021,今後の見通し 世界経済は、米国中心に堅調に推移してきましたが、中東における紛争の影響により急速に不透明感が増しています。今後の展開次第では、経済成長に大幅な下押し圧力がかかることも懸念され、金融市場も含め不安定な展開が予想されます。日本経済も賃上げと個人消費回復の好循環が期待されるものの、原油をはじめとする資源価格の高騰及び供給不安が懸念されるなかで、更なる物価高騰や企業収益に与える影響等、大きな不安材料も抱えています。 当社グループをめぐる事業環境については、国内造船所は新規受注こそ低調ながら手持工事は積み上がっており、当面の工事量は確保されています。官民一体となって造船業再生に向けた施策が展開されており、今後の建造量増加が期待されますが、短期的にはその効果は限定的と考えられます。半導体関連需要は用途によりまだら模様の状況が継続するものと思われ、全体としての回復にはいまだ時間がかかるものと予想されます。 当社グループは、こうした極めて不透明かつ流動的な事業環境にあって、その動向を十分に見極めつつ、前中期経営計画「シン・ニッチツ2025」に続く新たな経営計画の策定を図ってまいります。また持続的な成長の実現に向けて、収益力の強化と安定した経営基盤の確立に努めてまいります。 2027年3月期の見通しについては、機械関連事業の舶用機器部門は、船殻ブロックが堅調を維持する一方で、ハッチカバーはやや低調に推移する見込みです。産業機器部門においては重電・製鉄機械関連で一定の受注を確保しており
2814,"今後の見通しにつきましては、訪日外国人旅行者の増加及び円安の影響によるインバウンド需要の拡大や、社会 経済活動の活発化に伴う雇用情勢の改善など、持ち直しの動きが見られるものの、継続的な物価上昇や金融資本市 場の変動による消費マインドの低下や、地政学リスクの高まりが懸念されることなどから、先行きについては依然 として不透明な状況が続くものと予想されます。 当食品業界につきましては、インバウンド需要の拡大を受け、飲料需要及び製菓用途需要が拡大したものの、原 材料コストの高騰に伴う物価上昇の影響による消費者の節約志向の高まりから、厳しい事業環境に直面しておりま す。 当社といたしましては、食に携わる企業として安全・安心な製品の提供を最重要課題に位置づけ、適正な人員の 確保による生産体制と、品質保証体制の更なる強化に努め、今後の国内市場が縮小に向かう厳しい状況の中、創業 以来培ってまいりました「天然風味の粉末化」技術を応用し、付加価値の高い製品開発に注力してまいります。 このような見通しのもと、第２四半期業績予想は、売上高 3,424百万円、営業利益 218百万円、経常利益 308百 万円及び中間純利益 208百万円、通期業績予想は、売上高 6,732百万円、営業利益 373百万円、経常利益 545百万 円及び当期純利益 368百万円を見込んでおります。 （５）利益配分に関する基本方針及び当期・次期の配当 当社は、株主の皆様に対する積極的な利益"
6899,"今後の見通し（次期の業績見通し） 今後の見通しにつきましては、中東情勢に伴う原油供給の不安定な状況による受注動向の不確実性及び景気の減速の懸念、円安進行からくる原材料価格の高騰等、当社グループを取り巻く経営環境は引き続き厳しい状況が続くものと予想されます。 このような状況の中、当社としては、新中期経営計画（VISION2030）を新たに掲げ、インド事業、ＥＶ関連各種電子部品、二輪車・船外機用ワイヤーハーネス、メディカル関係製品を重点事業として、新たな目標達成に向け取り組みを開始してまいります。特に海外においてはインドにおける売上の拡大を最重点事項で取り組むとともに、ベトナム・インドにおける研究開発体制の強化を図り、グローバルで研究開発活動を推進してまいります。 次期の業績見通しにつきましては、 売上高 58,000百万円（当期比 7.1％減） 営業利益 1,000百万円（当期比 23.2％減） 経常利益 1,000百万円（当期比 24.6％減） 親会社株主に帰属する当期純利益 700百万円（当期比 1.8％減） を見込んでおります。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、当面は、日本基準で連結財務諸表を作成する方針であります。 なお、国際会計基準の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針"
7997,"今後の見通し 売上高 （百万円） 営業利益 （百万円） 経常利益 （百万円） 親会社株主に帰属 する当期純利益 （百万円） １株当たり当期 純利益（円） 2026年11月期 2025年11月期 増減率（％） 7,450 6,342 17.5 70 △122 ― 75 △7 ― 40 403 △90.1 23.96 237.75 △89.9 翌連結会計年度を迎えるにあたり、新３か年中期経営計画『Power Up 2028』（2026年11月期～2028年11月 期）（以下『Power Up 2028』という。）を策定しました。『Revive2025』において推進しました取組内容をベ ースとしつつ、収益基盤の更なる拡充による収益の安定的な拡大を目指し、下記の課題に取り組むための人材 の育成、外部事業者との協業・提携等の構築を柱としております。 ・米国Steelcase社の製品・知見利用の最大化 ・オフィスデザイン・提案事業の拡大 ・内装工事への取り組み強化 ・ＰＭ事業への本格的な取り組み ・サーキュラーエコノミーへの対応 家具関連の事務用家具部門においては、オフィスでの「新たなる働き方・ワークプレイスの役割」を模索す る動きが経営層レベルで広がり、従業員のエンゲージメントの向上や社員間のコラボレーションの活性化をこ れまで以上に進めるために、社員のオフィス回帰も含めた新たなワークプレイスの構築に対するオフィス投資"
4360,"今後の見通し 通期の連結業績見通しにつきましては、売上高11,600百万円（前期比5.5％増）を予想しております。なお、2027年３月期の連結業績予想については、中東情勢による未確定要素を踏まえ、特に今後の生産計画の変更可能性や原料コストの変化等、合理的な算定が困難なため、現時点では売上高のみを開示しております。今後、影響が判明次第速やかに公表いたします。株式会社マナック・ケミカル・パートナーズ（4360） 2026年３月期 決算短信 - 3 - ２．会計基準の選択に関する基本的な考え方 当社グループは、国内の同業他社との比較可能性を確保するため、会計基準につきましては日本基準を適用しております。 なお、国際会計基準の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針であります。株式会社マナック・ケミカル・パートナーズ（4360） 2026年３月期 決算短信 - 4 - （単位：百万円）前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資産の部流動資産現金及び預金2,7674,008受取手形及び売掛金2,1001,804電子記録債権531464商品及び製品2,1932,112仕掛品621442原材料及び貯蔵品726776その他108114貸倒引当金△3△3流動資産合計9,0459,721固定資産有形固定資産建物及び構築物（純額）501663機械装置及び運搬具（純額）371675土地636694建設仮勘定1111,166その他（純額）"
5187,今後の見通し当社グループを取り巻く経営環境は、国内における医療需要の安定的な伸長に加え、アジアを中心とした海外市場の拡大が予想される一方、原材料価格の高止まりや為替変動、海外の不確実性や地政学リスクを背景としたサプライチェーンの影響が懸念され、先行き不透明な状況が続いております。このような状況の下、2026年12月期の業績予想につきましては、中期経営計画2027の２年目として、国内販売は新製品の営業活動と原材料高騰を背景とした販売価格改定により収益性向上を進めるとともに、海外市場では中国の集中購買の対策を図りつつ、インド・東南アジア地域への新市場拡大により売上高の拡大を計画しております。利益面では、中期の連結営業利益率10％を目指した製造機能最適化や製造のコストダウンの収益改善策により増益確保を目指してまいります。以上を踏まえ、次期の連結業績予想は、次のとおりであります。<連結業績予想について> （単位：百万円）（為替レート：１ドル＝150.00円、１元＝21.00円）(5）利益配分に関する基本方針及び当期・次期の配当当社グループは、株主の皆様への利益還元を経営の重要施策と位置付け、今後の収益力向上のために内部留保による経営基盤の強化を図りつつ、安定的かつ継続的な配当を実施しております。今後はさらなる株主還元の充実として、連結配当性向50.0％を目安としつつ、資本政策の指標として中長期的に純資産配当率（ＤＯＥ）を４％まで引
5446,"今後の見通しにつきましては、引き続き鋼材需要の大幅な回復を期待することは難しい状況であることに加え、中東情勢の緊迫化によるエネルギーの安定供給に対する不安など地政学リスクの一層の高まりや米国の通商政策が鉄鋼需給だけではなく世界経済全般に大きな影響を及ぼす可能性があることなど、不透明かつ厳しい経営環境となることが予想されます。このような環境下、当社グループといたしましては、「中期経営計画2027」の達成に向けた取り組みを精力的に推進し、長期ビジョンの達成を目指してまいります。2027年３月期の連結業績予想につきましては、売上高25,000百万円と2026年３月期並みの水準を見込みますが、主原料である鉄スクラップ価格や各エネルギー調達コストの急騰および高止まりにより営業損失900百万円、経常損失800百万円、親会社株主に帰属する当期純損失800百万円を見込んでおります。２．会計基準の選択に関する基本的な考え方 当社グループは、連結財務諸表の期間比較可能性及び企業間の比較可能性を考慮し、会計基準につきましては日本基準を適用しております。 なお、国際会計基準の適用につきましては、国内外の諸情勢を考慮の上、適切に対応していく方針です。 北越メタル株式会社(5446) 2026年３月期 決算短信 - 4 - （単位：千円）前連結会計年度(2025年３月31日)当連結会計年度(2026年３月31日)資産の部流動資産現金及び預金2,238,3452,289,458受取手形及び売掛"
3632,業績見通しについて適正かつ合理的な数値の算出が困難であると判断し、連結業績予想の開示を見合わせることといたしました。投資事業を除く、各事業セグメントごとの今後の見通し等については、本日発表の「2025年６月期 通期（第４四半期） 決算説明会資料」にて開示しておりますので、あわせてご参照ください。（５）利益配分に関する基本方針及び当期・次期の配当当社グループは、株主の皆様に対する利益還元を重要な経営課題の一つと認識しており、事業の効率化及び拡大に必要な内部留保の充実を勘案しながら、その時々の当社グループの経営成績及び財政状態並びにそれらの見通しに応じた適切な利益還元策を実施することを基本方針としております。配当につきましては、連結配当性向70％を上限とし、DOE（純資産配当率）３％程度を確保しつつ、連結配当性向30％程度以上を目処として安定的かつ継続的に実施してまいります。この方針のもと、当期につきましては、１株につき4.5円の普通配当の実施を予定しております。また、創立20周年にあたり、１株につき10円の記念配当の実施を予定しております。これにより、当期の年間配当金は１株につき14.5円となる見込みです。次期以降につきましては、現時点では未定でありますが、基本方針に従いながら株主の皆様に対する適切な利益還元策を都度検討してまいります。 グリーホールディングス㈱（3632） 2025年６月期 決算短信 - 5 - ２．会計基準の選択に関する基本的な考え方 当社グループは、連結財
6718,業績見通しにつきましては、現時点で得られた情報および合理的であると判断する一定の前提に基づいて算出しております。当社グループの為替影響につきましては、ＵＳドルやタイバーツに対して円高が進行することにより営業利益が押し上げられる効果があります。次期為替レートにつきましては、１ＵＳドル＝158円、１タイバーツ＝5.0円を想定しております。アイホン㈱（6718）2026年3月期 決算短信 - 5 - （２）当期の財政状態の概況① 資産、負債及び純資産の状況当連結会計年度末における資産は799億５千７百万円（前連結会計年度末770億３千７百万円）となり29億１千９百万円増加いたしました。これは主に、現金及び預金が16億３千万円減少、売上債権が14億３千９百万円増加、建設仮勘定が25億４千４百万円増加、投資有価証券が６億６千５百万円増加したこと等によるものであります。負債は99億２千３百万円（前連結会計年度末102億７千４百万円）となり３億５千１百万円減少いたしました。これは主に、仕入債務が３億３千７百万円減少、リース債務が８千９百万円減少、未払法人税等が６千７百万円減少、退職給付に係る負債が１億３千９百万円増加したこと等によるものであります。純資産は700億３千４百万円（前連結会計年度末667億６千３百万円）となり32億７千１百万円増加いたしました。これは主に、為替換算調整勘定により20億３千４百万円増加、その他有価証券評価差額金により９億１百万円増加したこと等によるものであります。②
9876,今後の見通し 2027年２月期においては、経済活動の正常化が進み、雇用・所得環境が改善するなど緩やかな回復 基調で推移する一方で、継続的な物価上昇や人件費の高まりを受けたコストの増加、人手不足の深刻 化への懸念等が続くものと考えられます。海外経済においても、米国の今後の政策動向や中東情勢に よる影響等の懸念があり、そうした国内外の諸問題に伴う資源・材料の価格高騰、円安継続など、依 然として先行き不透明な経済状況が続くものと想定しております。 そのような環境に対応していくため、『Beautiful Life Innovator（新生活提案企業）への深化』 を掲げ、「店舗売上の拡大」「EC売上の拡大」「荒利率の維持・改善」の３つの重点施策を継続して 進めることで、安定成長を目指します。 「店舗売上の拡大」については、雑誌タイアップ企画をさらに拡大するとともに、好立地への移設 等も含めた坪効率の改善に努めてまいります。接客面においては、採用単価の見直し等の採用強化に よる人員確保に加え、販売トレーナーの増員・外部研修の導入を通じて販売力アップを図ってまいり ます。 「EC売上の拡大」については、専門人材の確保・育成に継続して取り組むと共に、自社EC運営にお いては、店頭でのECクーポン配布等のOMO強化、会員プログラムの刷新等を通じて売上拡大を図って まいります。外部モールECにおいては、インフルエンサーとのコラボ強化、SNS連動広告の活用等、 WEB広
8869,今後の見通し次期の業績見通しは次のとおりです。詳細につきましては、2026年５月14日付公表の「2026年３月期 決算説明資料」をご覧ください。 （連結） （個別）我が国経済の先行きは、持続的な賃上げ等を背景とした個人消費の緩やかな回復が続くことが期待される一方で、人手不足の深刻化や、金利上昇が企業の投資判断に与える影響、さらには中東情勢などの地政学リスクに伴うコスト上昇圧力についても、引き続き注視が必要な状況にあります。当社グループの主力事業である首都圏マンション市場においては、金融政策の正常化に伴う住宅ローン金利の上昇が、顧客の購買心理に与える影響については注視が必要であると認識しております。一方で、新規供給の限られるなか、厳選された好立地物件に対する実需および資産形成目的でのニーズは根強く、当社では１億円を超える価格帯の物件の販売比率が上昇しております。今後も、こうした資産価値の高い住宅に対する需要は底堅く推移するものと考えております。当社は2025年３月期から2027年３月期までを計画期間とした「中期経営計画2027」に基づき、持続的な成長を目指しております。当連結会計年度におきましては、売上高・利益ともに計画を大きく超過いたしました。中計最終年度となる次期（2027年３月期）の連結業績予想は、当連結会計年度比では減収減益の計画となりますが、利益額においては中計の目標値を上回る業績を見込んでおります。以下の３点に特に注力し、計画達成とさらなる企業価値向上を目指してまいりま
5282,業績見通しにつきましては、 売上高106億円、営業利益０百万円、経常利益０百万円を見込んでおります。また、親会社株主に帰属する中間純 利益につきましては、投資有価証券売却益（特別利益）の計上があり、８億20百万円を見込んでおります。 2027年３月期通期の連結業績見通しは、下半期において地下通路向けカルバートや空港向け舗装版が複数工区 で予定されていることに加え、北陸震災復興案件等の土木製品の売上高が計上される予定であることから、売上 高256億円、営業利益14億50百万円、経常利益15億円、親会社株主に帰属する当期純利益18億50百万円を見込んで おります。 なお、上記業績見通しは、中東情勢の緊迫化によるコスト上昇及び石油化学製品の供給不安の影響は考慮して おりません。 利益配分に関する基本方針及び当期・次期の配当 当社は適正な利潤の確保に努め、健全な発展と永続性を目指し、収益状況に対応した適正な配当維持に努力す ることを基本方針としており、また、株主の皆様に対する利益還元を経営の重要な課題の一つと位置付け、内部 留保を確保しながら、継続的かつ安定的な配当の実施を図ります。適正な配当の指標としては、連結配当性向年 間30％程度を目安とし、2030年度中期経営計画期間中（2027年３月期～2031年３月期）は、１株当たり年間配当 金10円を下限値といたします。なお、特殊要因にかかる一時的な損失や利益計上により、親会社株主に帰属する 当期純利益が大きく
