コード,短信タイトル,短信PDF_URL,来期見通し(短信抜粋)
6342,2026年3月期　決算短信[日本基準]（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260501516930.pdf,今後の見通し今後の我が国経済の見通しといたしましては、産業全体の先行きにかかる見通しは上向きであり、底堅い設備投資意欲に支えられゆるやかな回復基調の継続が予想される一方で、緊迫化する中東情勢を背景に原材料・エネルギー価格の高止まり、とりわけ石油関連の物流停滞および石油由来の製品不足が懸念されるなど、先行きの不透明な環境が見込まれます。他方、年々威力を増す気候変動に起因する大規模自然災害をはじめとす…
5984,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511522766.pdf,今後の見通し次期の経済見通しにつきましては、米国の関税政策によるサプライチェーンの混乱や中国経済の低迷に加え、ロシア・ウクライナ戦争長期化や中東での紛争など地政学的リスクを背景に、引き続き先行き不透明な状況が続くものと予想されます。わが国経済においては、積極的な財政政策による企業業績改善と賃上げが期待される一方で、レアメタルと原油由来の原材料やエネルギー価格の高騰が企業活動に影響を及ぼす可能性があ…
5697,2026年3月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260424510700.pdf,今後の見通しわが国経済の今後の見通しにつきましては、更なる労務費・諸物価の上昇等の懸念があり、楽観視できない状況が継続している中で、中東情勢に伴う原油・ナフサの調達不安に起因した諸資材の高騰、及び調達の困難化といった収益・生産面への影響が憂慮される状況と認識しています。当業界につきましても、今後の動向を慎重に見極めていくことと、変化への備えが何よりも重要であると考えております。このような経営環境下…
3420,2026年３月期　決算短信［日本基準］（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514533004.pdf,今後の見通し ①通期の見通し 今後の見通しにつきましては、雇用環境の改善や賃金動向の変化などを背景に、緩やかな回復が続くことが期待されます。一方で、物価上昇の影響や人手不足の深刻化、金利・為替動向や中東情勢などの地政学的リスクも存在しており、企業経営を取り巻く環境には引き続き注意を要する状況が見込まれます。 一方、建設業界においても、建設資材価格やエネルギー価格の高騰、建設技術者・技能労働者の慢性…
1850,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260428/20260422508441.pdf,今後の見通しにつきましては、国内経済は緩やかな回復基調のまま推移することが見込まれ、建設業界におきま しても、堅調な企業収益や省力化投資への対応等を背景に、持ち直しの傾向が続くことが期待されます。一方で、 中東情勢等の地政学リスクや物価上昇による影響について、十分に注意する必要があります。また、建設技術者や 技能労働者の減少と高齢化が進んでおり、業界を取り巻く環境は、引き続き厳しさを増していくもの…
7937,2026年３月期　決算短信〔日本基準〕(非連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260421507693.pdf,今後の見通し今後の経済情勢につきましては、雇用・所得環境が改善する下で、各種政策の効果もあって、緩やかな回復が続くことが期待されます。しかしながら、不安定な世界情勢を受けた地政学リスクの高まりや、継続する物価上昇により個人消費の減速が懸念されることなどが、わが国の景気を下押しするリスクとなっております。また、金融資本市場の変動の影響やアメリカの通商政策をめぐる動向などにも十分注意する必要があります…
4224,2026年3月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513529466.pdf,今後の見通し わが国経済の先行きにつきましては、引き続き緩やかな回復基調で推移することが期待されるものの、中東地域 を巡る地政学的リスクの長期化によるエネルギー需給への影響や原材料価格の動向、為替変動など不確実性が多く、 景気の先行きは依然不透明な状況が続くものと予想されます。 当社グループの業績見通しにつきましては、原油価格の変動や供給不安により、原材料費などの仕入れ価格上昇 が見込まれており、…
4705,2026年３月期　決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260512524825.pdf,"今後の見通し 教育事業は、通期の平均生徒数が、当期5,706名から、次期5,843名となる見込から、売上高23億36百万円（当 連結会計年度比3.4％増）と見込んでおります。 スポーツ事業は、通期の平均生徒数が、当期3,190名から、次期3,193名となる見込から、売上２億39百万円 （当連結会計年度比0.3％増）と見込んでおります。 飲食事業は、売上高１億28百万円円（当連結会計年度比0.1％減…"
7670,2026年３月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514532268.pdf,今後の見通し 今後の国内外の景気動向においても、引き続き米国の通商政策の動向、ウクライナや中東地域をめぐる情勢や物価 上昇、金融資本市場の変動等の影響が懸念されていることから、先行き不透明な状況が継続すると推測されます。 当社グループはこのような状況のもと、2024年度から2026年度を最終年度とする中期経営計画「MAP24-26」では、 「グローバルブランド O-Wellの樹立」を10年後の目指…
2795,2026年3月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513530088.pdf,今後の見通し ①次期(2027年３月期)の連結業績見通しについて 次期(2027年３月期)の連結業績見通しにつきましては、売上高 71億70百万円、営業利益 ５億0百万円、経常 利益５億60百万円、親会社株主に帰属する当期純利益 ３億75百万円を見込んでおります。 なお、当社は、当連結会計年度末において、米ドル建ての現金、預金を約１千50万ドル、ユーロ建ては約１ 百万ユーロ保有しており、期末時点の…
3758,2026年12月期第１四半期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260515537524.pdf,業績見通し等の将来に関する記述は、当社が現在入手している情報及び合理的であると判断する一定の前提に基づいており、実際の業績等は様々な要因により大きく異なる可能性があります。 ○添付資料の目次 株式会社アエリア(3758) 2026年12月期 第１四半期決算短信 １．当四半期決算に関する定性的情報 ……………………………………………………………………………２ （１）経営成績に関する説明 …………………
5951,2026年３月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260512524635.pdf,今後の見通しにつきましては、わが国経済は、雇用・所得環境の改善が進む中で、各種政策の効果も下支えとなり、緩やかな回復が期待されるものの、中東情勢の影響には十分注意する必要があります。 今後も、地政学的リスクに伴う原材料やエネルギー価格の高騰などが懸念されますが、販売価格の改定や継続的なコスト削減により、既存事業の収益性を高めるとともに、新商品への中長期的な設備投資・開発投資を行い、資本効率の継続的…
7435,2026年４月期　第３四半期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260311/20260225568936.pdf,業績見通し等の将来に関する記述は、当社が現在入手している情報および合理的であると判断する一定の前提に基づいており、そ の達成を当社として約束する趣旨のものではありません。また、実際の業績等は様々な要因により大きく異なる可能性があります。 〇添付資料の目次 株式会社ナ・デックス(7435) 2026年４月期 第３四半期決算短信 １．経営成績等の概況 ……………………………………………………………………
7422,2025年12月期　決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260130/20260130542521.pdf,今後の見通し 当社を取り巻く事業環境は、原材料価格や物流費の上昇、為替変動等の影響に加え、消費行動や市場構造の 変化が進行しており、依然として先行き不透明な状況が続いております。 このような状況におきまして、当社は「創造・開拓・奉仕」の経営理念のもと、事業の持続性と将来にわた る企業価値の向上を図るべく、商品戦略及び営業戦略を中心とした経営課題への対応を進めてまいります。 (1) 商品戦略 当社は…
3236,2025年5月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20250714/20250714513723.pdf,今後の見通し日本経済は、米国の通商政策等による不透明感がみられ、一部で足踏みがみられるものの当面は内需がけん引する形で、緩やかな回復を続けることが見込まれます。しかしながら、東欧や中東における世界情勢の不透明性、円安や資源価格の上昇に伴うエネルギー価格や食料品の価格上昇の継続などによる消費者マインドの下振れ、世界的な金融引締め等による海外景気の下振れが、景気の下押し圧力となる可能性があります。当社…
5819,2025年12月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260129/20260122537310.pdf,今後の見通し 世界情勢は、ロシア・ウクライナ、中東、東アジア、中南米など地政学リスクが世界各地域に広がり、経済活動へ波及が懸念されるなど不安定な状況が想定されます。経済面では為替の動向、継続する資源価格の高騰、中国経済の減速、米国関税の影響など、経営環境は極めて不透明な状況が続くと予想されます。当社グループは、国内市場における既存事業強化とともに、海外市場への積極的な展開、次のビジネスの礎構築に向…
3161,2025年4月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20250613/20250612588511.pdf,"業績見通しにつきましては、売上高8,445百万円、営業利益270百万円、経常利益300百万 円、親会社株主に帰属する当期純利益194百万円を見込んでおります。上記業績予想は、本資料発表時点において入手 可能な情報に基づき作成したもので、今後事業環境の変化など、業績予想の修正が見込まれる場合には、適時、適切 な情報開示をいたします。 ２．会計基準の選択に関する基本的な考え方 当社グループの利害関係者…"
7175,2026年３月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260424/20260424509735.pdf,今後の見通し 当社の業績は、経済情勢や市場環境の変動による影響を大きく受ける状況にあり、投資家の皆様の投資判断に有用 な業績予想を行うことが困難であるため、業績予想を開示しておりません。これに代えて、四半期及び通期の業績速 報値を開示いたします。なお、業績速報値については、四半期決算及び決算終了後概ね15営業日以内に開示する予定 としております。 ２．会計基準の選択に関する基本的な考え方 当社は日…
5946,2025年12月期　決算短信［日本基準］（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260127539603.pdf,次期の見通し）今後のわが国経済は、雇用・所得環境の改善により個人消費の持ち直しの動きが引続き拡大していくと見込まれ、景気は緩やかな回復が期待されますが、米国の通商政策の動向や日中関係の悪化に加え、政府の積極財政や金融政策が個人消費に及ぼす影響等に十分に留意する必要があります。また、当社グループの商品需要とも関係の深い建築業界におきましては、資材価格や人件費の高騰などにより住宅価格の上昇が続くなか、…
8938,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260515536122.pdf,"今後の見通し当連結会計年度においては、医療関連事業において新たに１件のアライアンス先医療機関を獲得しましたが、業務受託契約の終了等による病床減があり、３月31日現在のアライアンス先病床数は合計4,826床となりました。また、2024年３月期に立ち上げたホスピス住宅事業につきましては、2026年2月をもって閉鎖し、賃貸物件として他社に賃貸中です。2027年３月期には、新規アライアンス先医療機関の開拓…"
6292,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260512526252.pdf,今後の見通し 世界経済は、地政学的リスクの高まりや中国経済の長期低迷等により、先行きに対する強い不透明感が漂って います。わが国経済も、個人消費の改善や緩やかな設備投資の回復に期待は持てる反面、原油価格高騰や調達懸 念等に伴う物価上昇による消費の下押し懸念もあり、外部環境の変化を注視しつつ、慎重なリスク管理が求めら れる状況が続くものと予想されます。 また、当社グループを取り巻く環境としては、射出…
3668,2026年９月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260507/20260507517907.pdf,
6748,2025年12月期  決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260212/20260212555859.pdf,今後の見通しにつきましては、雇用・所得環境の改善などを背景に緩やかな回復が続くことが期待されますが、物価上昇、アメリカの政策動向、金融資本市場の変動など依然として景気の先行きは不透明な状況にあります。このようななか、公共設備関連では、インフラ整備などの公共事業の継続、政府のカーボンニュートラル施策を背景とした照明器具のLED化促進などが予想されます。また民間設備関連では2027年蛍光灯製造禁止を背…
9972,2025年11月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260114/20260114533330.pdf,今後の見通し今後の我が国経済は、日中関係の悪化や米国の関税政策等の影響を受けつつも、雇用環境の改善や政府の経済政策が下支えとなり、底堅く推移していくと予想されます。一方、海外においては、米中貿易摩擦が再燃する懸念、ロシア・ウクライナ情勢や中東情勢の長期化による影響等の下振れリスクを抱えつつも、緩やかな回復基調となることが予想されます。当社グループは、2021年１月に策定した中期経営計画（2021年…
6335,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260511522106.pdf,今後の見通し 当社グループが主として事業を展開する新聞業界は、新聞の需要が減退しており、設備投資に対する姿勢は慎重 であり、当社にとりまして厳しい事業環境が続いております。 このような事業環境のもと、当社グループは、中期経営計画において掲げた経営理念に従い、構造改革に取り組 んでまいります。 次期の業績見通しとしては売上高109億6千万円（前期実績84億5千6百万円）、営業利益7億円（前期実績7億…
7021,2026年3月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260326590305.pdf,今後の見通し 世界経済は、米国中心に堅調に推移してきましたが、中東における紛争の影響により急速に不透明感が増しています。今後の展開次第では、経済成長に大幅な下押し圧力がかかることも懸念され、金融市場も含め不安定な展開が予想されます。日本経済も賃上げと個人消費回復の好循環が期待されるものの、原油をはじめとする資源価格の高騰及び供給不安が懸念されるなかで、更なる物価高騰や企業収益に与える影響等、大きな…
2814,2026年3月期 決算短信〔日本基準〕(非連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260514535055.pdf,今後の見通しにつきましては、訪日外国人旅行者の増加及び円安の影響によるインバウンド需要の拡大や、社会 経済活動の活発化に伴う雇用情勢の改善など、持ち直しの動きが見られるものの、継続的な物価上昇や金融資本市 場の変動による消費マインドの低下や、地政学リスクの高まりが懸念されることなどから、先行きについては依然 として不透明な状況が続くものと予想されます。 当食品業界につきましては、インバウンド需要の…
6899,2026年3月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260430515526.pdf,今後の見通し（次期の業績見通し） 今後の見通しにつきましては、中東情勢に伴う原油供給の不安定な状況による受注動向の不確実性及び景気の減速の懸念、円安進行からくる原材料価格の高騰等、当社グループを取り巻く経営環境は引き続き厳しい状況が続くものと予想されます。 このような状況の中、当社としては、新中期経営計画（VISION2030）を新たに掲げ、インド事業、ＥＶ関連各種電子部品、二輪車・船外機用ワイヤ…
7997,2025年11月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260114/20260114533160.pdf,"今後の見通し 売上高 （百万円） 営業利益 （百万円） 経常利益 （百万円） 親会社株主に帰属 する当期純利益 （百万円） １株当たり当期 純利益（円） 2026年11月期 2025年11月期 増減率（％） 7,450 6,342 17.5 70 △122 ― 75 △7 ― 40 403 △90.1 23.96 237.75 △89.9 翌連結会計年度を迎えるにあたり、新３か年中期経営計画『Po…"
4360,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260501516521.pdf,"今後の見通し 通期の連結業績見通しにつきましては、売上高11,600百万円（前期比5.5％増）を予想しております。なお、2027年３月期の連結業績予想については、中東情勢による未確定要素を踏まえ、特に今後の生産計画の変更可能性や原料コストの変化等、合理的な算定が困難なため、現時点では売上高のみを開示しております。今後、影響が判明次第速やかに公表いたします。株式会社マナック・ケミカル・パートナーズ（…"
5187,2025年12月期 決算短信[日本基準](連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260212556586.pdf,今後の見通し当社グループを取り巻く経営環境は、国内における医療需要の安定的な伸長に加え、アジアを中心とした海外市場の拡大が予想される一方、原材料価格の高止まりや為替変動、海外の不確実性や地政学リスクを背景としたサプライチェーンの影響が懸念され、先行き不透明な状況が続いております。このような状況の下、2026年12月期の業績予想につきましては、中期経営計画2027の２年目として、国内販売は新製品の営…
5446,2026年3月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260507517815.pdf,今後の見通しにつきましては、引き続き鋼材需要の大幅な回復を期待することは難しい状況であることに加え、中東情勢の緊迫化によるエネルギーの安定供給に対する不安など地政学リスクの一層の高まりや米国の通商政策が鉄鋼需給だけではなく世界経済全般に大きな影響を及ぼす可能性があることなど、不透明かつ厳しい経営環境となることが予想されます。このような環境下、当社グループといたしましては、「中期経営計画2027」の…
3632,2025年6月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20250806/20250806531347.pdf,業績見通しについて適正かつ合理的な数値の算出が困難であると判断し、連結業績予想の開示を見合わせることといたしました。投資事業を除く、各事業セグメントごとの今後の見通し等については、本日発表の「2025年６月期 通期（第４四半期） 決算説明会資料」にて開示しておりますので、あわせてご参照ください。（５）利益配分に関する基本方針及び当期・次期の配当当社グループは、株主の皆様に対する利益還元を重要な経営…
6718,2026年3月期決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260512/20260507517640.pdf,業績見通しにつきましては、現時点で得られた情報および合理的であると判断する一定の前提に基づいて算出しております。当社グループの為替影響につきましては、ＵＳドルやタイバーツに対して円高が進行することにより営業利益が押し上げられる効果があります。次期為替レートにつきましては、１ＵＳドル＝158円、１タイバーツ＝5.0円を想定しております。アイホン㈱（6718）2026年3月期 決算短信 - 5 - （…
9876,2026年２月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260409/20260408500415.pdf,今後の見通し 2027年２月期においては、経済活動の正常化が進み、雇用・所得環境が改善するなど緩やかな回復 基調で推移する一方で、継続的な物価上昇や人件費の高まりを受けたコストの増加、人手不足の深刻 化への懸念等が続くものと考えられます。海外経済においても、米国の今後の政策動向や中東情勢に よる影響等の懸念があり、そうした国内外の諸問題に伴う資源・材料の価格高騰、円安継続など、依 然として先行き不…
8869,2026年３月期 決算短信［日本基準］（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260514532679.pdf,今後の見通し次期の業績見通しは次のとおりです。詳細につきましては、2026年５月14日付公表の「2026年３月期 決算説明資料」をご覧ください。 （連結） （個別）我が国経済の先行きは、持続的な賃上げ等を背景とした個人消費の緩やかな回復が続くことが期待される一方で、人手不足の深刻化や、金利上昇が企業の投資判断に与える影響、さらには中東情勢などの地政学リスクに伴うコスト上昇圧力についても、引き続き注…
5282,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260513527905.pdf,業績見通しにつきましては、 売上高106億円、営業利益０百万円、経常利益０百万円を見込んでおります。また、親会社株主に帰属する中間純 利益につきましては、投資有価証券売却益（特別利益）の計上があり、８億20百万円を見込んでおります。 2027年３月期通期の連結業績見通しは、下半期において地下通路向けカルバートや空港向け舗装版が複数工区 で予定されていることに加え、北陸震災復興案件等の土木製品の売上…
3537,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260511523559.pdf,"今後の見通し 当社グループの次期（2027年３月期）の連結業績は、売上高27,267百万円（前連結会計年度比1.3％増）、営業利 益441百万円（前連結会計年度比12.6％減）、経常利益629百万円（前連結会計年度比13.3％減）、親会社株主に帰 属する当期純利益は437百万円（前連結会計年度比21.4％減）の増収減益を見込んでおります。 当社グループでは、全てのセグメントにおいて、可能な範囲で収…"
8595,2026年３月期  決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260424/20260424509826.pdf,
6497,2025年12月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260213/20260109531864.pdf,今後の見通し 2026年12月期の連結業績予想につきましては、売上高131億円、営業利益12.5億円、経常利益13.8億円、親会社株主 に帰属する当期純利益9.8億円を見込んでおります。 なお、当期は当社の新たな中期経営計画（５カ年）の５年目となります。詳細につきましては、「ビジョン2030」 と共に「2226中期経営計画」を弊社ウェブサイト（https://www.hamai-net.com）に…
2168,2026年５月期　第３四半期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260414/20260408500234.pdf,業績見通し等の将来に関する記述は、当社が現在入手している情報及び合理的であると判断する一定の前提に基づいており、実際の業績等は様々な要因により大きく異なる可能性があります。業績予想の前提となる条件等については、(添付資料)「１．経営成績等の概況(３)連結業績予想などの将来予測情報に関する説明」をご覧ください。(決算説明資料の入手方法)決算説明補足資料については、当社ホームページ(https://w…
7264,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513531045.pdf,"今後の見通し （次期の見通し） 今後の経済環境につきましては、地政学リスクの継続、各国における通商政策の動向、為替変動等により、依然 として不透明な状況が続くものと思われます。このような状況の中、当社グループは、生産性向上、原価低減、お よび成長分野への注力を通じて収益力の強化を図って参ります。現時点での事業環境に大きな変動が無いことを前 提とした連結業績予想としましては、売上高は24,139 百…"
5079,2025年４月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20250613/20250613589104.pdf,今後の見通し わが国経済は、雇用・所得環境に改善の動きが見られる中、インバウンド需要の増加や個人消費の持ち直しによ り緩やかな回復傾向となりました。 その一方で、米国の政策動向や中国経済の先行き懸念、中東地域等の地政学的リスクの長期化を背景とした不安 定な国際情勢の影響による原油・原材料価格等の高止まり、わが国を含む主要国における政治情勢がもたらす金融 資本市場の変動に伴う影響等の懸念材料が見込ま…
7122,2026年３月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260513/20260513528851.pdf,今後の見通し 短期的には中東情勢の緊迫化による物価や調達コストの上昇が懸念され、当社グループにおいても資源供給の 混乱とそれに伴う原材料やエネルギー価格の高騰、人件費の急騰などによる製造原価の上昇に加え、工程に影響 を及ぼすことも考えられますが、影響の規模と解消時期が不明なため現時点で明確な形では業績予想に織り込ん でおりません。 一方、中期的には省エネルギー化、CO2削減などに向けた鉄道分野への…
8281,2026年３月期 決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260514533078.pdf,今後の見通し 今後の当社グループを取り巻く環境は、雇用・所得環境の改善や各種政策の効果により、国内景気は緩やかな回復が続くことが期待されます。一方で、物価上昇による消費者マインドへの影響、為替・資源価格の変動、金融資本市場の変動、海外経済および通商政策の動向等については、引き続き注意が必要な状況にあります。 このような状況下、当社グループは、2027年３月期を、将来の成長基盤と資本効率を再構築する…
1853,2026年3月期 決算短信〔日本基準〕（非連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260502517134.pdf,"今後の見通し 建設業界の今後の見通しにつきましては、成長分野に支えられ建設投資は底堅く推移する見通しであるものの、原油価格の高止まりによるエネルギーコストや資材価格の上昇に加え、深刻な担い手不足の問題や石油関連資材の供給不足の懸念等もあり、先行き不透明な状況が続くものと見込まれます。 このような状況下、当社の2027年３月期の業績は、売上高27,200百万円、営業利益1,160百万円、経常利益1,…"
7908,2026年３月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260424/20260424510676.pdf,今後の見通し 2027年３月期につきましては、米国の通商政策の動向や自動車産業の回復時期に加え、中東情勢の緊張に伴う原 油やナフサ調達環境への影響など、日々不確実性が高い状況が続くものと見込んでおります。これらの影響は当社 グループの高機能材料事業における原材料コストや生産活動に加え、顧客企業の事業活動にも波及しており、需要 動向についても見通しが困難な状況にあります。 このような状況を踏まえ、現…
4627,2025年10月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251215/20251212518985.pdf,次期の見通し今後の我が国の経済は、米国の関税政策の影響を受けた外需の落ち込みの改善の他、高市政権の経済対策の効果も見込まれ、実質賃金の改善や堅調な設備投資等を支えに、緩やかな景気回復が期待されます。しかし米国のトランプ大統領の通商政策の行方、米中の貿易摩擦の再燃、地政学リスクの高まりなどの影響が懸念され、先行き不透明な状況が続くことが想定されます。当社を取り巻く事業環境としては、金属用塗料事業では…
4243,2025年９月期決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251113/20251113599764.pdf,今後の見通し 次期の見通しにつきましては、国家間の争いや地政学的リスク、環境問題等の各種課題がより強く顕在化し、合理的な検討や柔軟な対応が要求される状況が続くものと予想されます。 このような厳しい事業環境を踏まえ、当社グループでは引き続きオリジナルプラスチック素材であるNIXAMⓇ応用製品による高付加価値新製品の開発・拡販に注力致します。また、生産面で新分野の生産能力の強化を目的とした投資を行い、…
4625,2026年３月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260513528134.pdf,今後の見通しにつきましては、経済活動が緩やかに回復していくことを期待されるものの、中東情 勢の緊迫化による資源・原材料の高騰、調達不安により先行きが不透明な状況が続くと予想され、ま た、このまま現在の中東情勢が続いた場合、原材料や副資材の調達困難により生産できない製品が発 生し市場への製品供給不足の発生、市場の停滞による受注減といったリスクが見込まれます。このよ うな環境のもと当社は、まず中東情勢…
7521,2026年３月期 決算短信〔日本基準〕(連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260515/20260513528609.pdf,業績見通しにつきましては、売上高339億59百万円、営業利益５億96百万円、経常利益７億32百万円、親会社株主に帰属する当期純利益３億91百万円を見込んでおります。（５）利益配分に関する基本方針及び当期・次期の配当当社グループは、企業体質の強化と将来の事業展開のため内部留保の充実を図ると同時に、業績の成果に応じた利益還元に努めることを基本方針としております。当期の期末配当金につきましては、当期の業…
5986,2026年３月期 決算短信〔日本基準〕(連結),https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260514/20260508520584.pdf,今後の見通し 今後のわが国経済は、企業収益や雇用環境の改善を背景に緩やかな景気回復が期待されますが、緊迫度を増す中 東情勢に起因する原油の供給障害や油価の上昇、金融資本市場の変動、さらには米国の通商政策をめぐる動向等、 依然として先行き不透明な状況で推移するものと思われます。 自動車産業においては、当社製品の主要ユーザーの販売低迷が続いていることから、受注回復の時期も不透明な 状況にあります。家電…
6150,2025年５月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20250715/20250714514019.pdf,今後の見通し 文中の将来に関する事項は、当連結会計年度末日現在において当社グループが判断したものであります。 タケダ機械株式会社(6150) 2025年５月期 決算短信 当社グループは「お客様視点のものづくり」を基本原点に、建築鉄骨業界・製缶板金業界に形鋼加工機、自動車 関連業界・鋼材加工業界に丸鋸切断機を主力製品として事業を展開し、グローバルな競合他社に負けない競争力を 強化すべく基盤体制づくり…
7975,2026年2月期　決算短信〔日本基準〕（連結）,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260403/20260402597723.pdf,今後の見通し 次期の経済環境につきましては、引き続き雇用・所得環境の改善や個人消費の増加等により、景気は緩やかに回 復基調を維持するものと予想されますが、中東情勢の悪化に伴う原油価格の上昇等に加え、労働力不足等による人 件費の上昇、円安進行に伴う輸入物価等の高騰、米国の関税政策の影響等により景気下振れリスクが懸念されま す。 事務用品業界におきましては、個人を中心として需要の多様化が一層進むことに…
